matchup,opening_idx,side,az_player,winner,az_score,opening_key
Deep,0,0,Player0,Draw,0.5,.........x
Deep,0,1,Player1,Draw,0.5,.........x
Deep,1,0,Player1,Draw,0.5,....X....o
Deep,1,1,Player0,Draw,0.5,....X....o
Deep,2,0,Player1,Draw,0.5,X........o
Deep,2,1,Player0,Draw,0.5,X........o
Deep,3,0,Player1,Draw,0.5,..X......o
Deep,3,1,Player0,Draw,0.5,..X......o
Deep,4,0,Player1,Draw,0.5,......X..o
Deep,4,1,Player0,Draw,0.5,......X..o
Deep,5,0,Player1,Draw,0.5,........Xo
Deep,5,1,Player0,Draw,0.5,........Xo
Deep,6,0,Player1,Draw,0.5,.X.......o
Deep,6,1,Player0,Draw,0.5,.X.......o
Deep,7,0,Player1,Draw,0.5,...X.....o
Deep,7,1,Player0,Draw,0.5,...X.....o
Deep,8,0,Player1,Draw,0.5,.....X...o
Deep,8,1,Player0,Player0,1.0,.....X...o
Deep,9,0,Player1,Draw,0.5,.......X.o
Deep,9,1,Player0,Player0,1.0,.......X.o
Deep,10,0,Player0,Draw,0.5,O...X....x
Deep,10,1,Player1,Draw,0.5,O...X....x
Deep,11,0,Player0,Draw,0.5,..O.X....x
Deep,11,1,Player1,Draw,0.5,..O.X....x
Deep,12,0,Player0,Draw,0.5,....X.O..x
Deep,12,1,Player1,Draw,0.5,....X.O..x
Deep,13,0,Player0,Player0,1.0,....X...Ox
Deep,13,1,Player1,Draw,0.5,....X...Ox
Deep,14,0,Player0,Player0,1.0,.O..X....x
Deep,14,1,Player1,Player0,0.0,.O..X....x
Deep,15,0,Player0,Player0,1.0,...OX....x
Deep,15,1,Player1,Player0,0.0,...OX....x
Deep,16,0,Player0,Player0,1.0,....XO...x
Deep,16,1,Player1,Player0,0.0,....XO...x
Deep,17,0,Player0,Player0,1.0,....X..O.x
Deep,17,1,Player1,Player0,0.0,....X..O.x
Deep,18,0,Player0,Draw,0.5,X...O....x
Deep,18,1,Player1,Draw,0.5,X...O....x
Deep,19,0,Player0,Player0,1.0,X.O......x
Deep,19,1,Player1,Player0,0.0,X.O......x
Deep,20,0,Player0,Player0,1.0,X.....O..x
Deep,20,1,Player1,Player0,0.0,X.....O..x
Deep,21,0,Player0,Player0,1.0,X.......Ox
Deep,21,1,Player1,Player0,0.0,X.......Ox
Deep,22,0,Player0,Player0,1.0,XO.......x
Deep,22,1,Player1,Player0,0.0,XO.......x
Deep,23,0,Player0,Player0,1.0,X..O.....x
Deep,23,1,Player1,Player0,0.0,X..O.....x
Deep,24,0,Player0,Player0,1.0,X....O...x
Deep,24,1,Player1,Player0,0.0,X....O...x
Medium,0,0,Player0,Player0,1.0,.........x
Medium,0,1,Player1,Draw,0.5,.........x
Medium,1,0,Player1,Draw,0.5,....X....o
Medium,1,1,Player0,Draw,0.5,....X....o
Medium,2,0,Player1,Draw,0.5,X........o
Medium,2,1,Player0,Player0,1.0,X........o
Medium,3,0,Player1,Draw,0.5,..X......o
Medium,3,1,Player0,Player0,1.0,..X......o
